"","rollno","name","Gender","age","course","marks","married"
"7","S-7","student7-xyz","Male",30,"Btech",30,"FALSE"
"22","S-22","student22-xyz","Female",36,"Btech",34,"TRUE"
"30","S-30","student30-xyz","Male",25,"Mtech",103,"FALSE"
"21","S-21","student21-xyz","Male",20,"Mtech",37,"TRUE"
"28","S-28","student28-xyz","Male",21,"Btech",56,"TRUE"
"11","S-11","student11-xyz","Male",21,"Btech",72,"FALSE"
"13","S-13","student13-xyz","Male",20,"Btech",58,"TRUE"
"2","S-2","student2-xyz","Male",29,"Btech",98,"TRUE"
"19","S-19","student19-xyz","Male",31,"Mtech",48,"FALSE"
"17","S-17","student17-xyz","Male",28,"Mtech",55,"FALSE"
